c_t,o_t,o,h,l,c,v
2022-10-01 10:05:00,2022-10-01 10:00:00,19329.5,19344.3,19328.26,19337.86,424.04717
2022-10-01 10:10:00,2022-10-01 10:05:00,19338.46,19340.44,19311.98,19319.49,598.28572
2022-10-01 10:15:00,2022-10-01 10:10:00,19318.58,19325.62,19311.7,19323.63,389.47349
2022-10-01 10:20:00,2022-10-01 10:15:00,19323.63,19323.98,19284.0,19312.8,639.76622
2022-10-01 10:25:00,2022-10-01 10:20:00,19313.35,19343.45,19312.8,19337.33,508.88077
2022-10-01 10:30:00,2022-10-01 10:25:00,19337.75,19338.15,19323.42,19327.28,435.94466
2022-10-01 10:35:00,2022-10-01 10:30:00,19327.28,19338.84,19325.41,19336.97,509.47163
2022-10-01 10:40:00,2022-10-01 10:35:00,19337.13,19351.0,19331.77,19343.41,616.32657
2022-10-01 10:45:00,2022-10-01 10:40:00,19344.61,19365.39,19337.69,19350.81,758.81773
2022-10-01 10:50:00,2022-10-01 10:45:00,19350.27,19360.93,19345.32,19347.14,563.93393
2022-10-01 10:55:00,2022-10-01 10:50:00,19347.16,19349.42,19327.59,19334.03,656.95778
2022-10-01 11:00:00,2022-10-01 10:55:00,19334.28,19337.78,19322.72,19327.95,350.63992
2022-10-01 11:05:00,2022-10-01 11:00:00,19329.0,19338.88,19325.62,19336.34,508.77464
2022-10-01 11:10:00,2022-10-01 11:05:00,19336.33,19347.76,19335.01,19340.15,394.99262
2022-10-01 11:15:00,2022-10-01 11:10:00,19339.5,19340.33,19314.6,19327.62,673.20671
2022-10-01 11:20:00,2022-10-01 11:15:00,19327.43,19328.48,19315.57,19316.39,546.34262
2022-10-01 11:25:00,2022-10-01 11:20:00,19316.39,19334.63,19293.0,19294.23,915.12702
2022-10-01 11:30:00,2022-10-01 11:25:00,19294.23,19302.43,19159.42,19210.13,2200.1343
2022-10-01 11:35:00,2022-10-01 11:30:00,19210.13,19246.21,19192.98,19233.76,1791.19691
2022-10-01 11:40:00,2022-10-01 11:35:00,19233.76,19265.32,19222.06,19241.03,892.52467
2022-10-01 11:45:00,2022-10-01 11:40:00,19240.04,19304.33,19222.86,19292.39,1133.50709
